golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_VijaySingh,-0.019710037,-0.043286001,-0.012591803
GOLFER_TigerWoods,-0.011273333,-0.034280609,-0.005953971
GOLFER_BrentGeiberger,-0.011080761,-0.022535582,-0.004127941
GOLFER_ScottVerplank,-0.011055652,-0.028534886,-0.005096442
GOLFER_StewartCink,-0.010991941,-0.034208655,-0.005357388
GOLFER_TedPurdy,-0.010421236,-0.030982878,-0.006096683
GOLFER_LorenRoberts,-0.010346487,-0.012554691,-0.004373377
GOLFER_ChrisDiMarco,-0.010004337,-0.015307529,-0.005546316
GOLFER_PhilMickelson,-0.009853988,-0.027578693,-0.002821447
GOLFER_ZachJohnson,-0.009806857,-0.019451757,-0.007614806
GOLFER_JesperParnevik,-0.00974368,-0.016793905,-0.004522282
GOLFER_JohnSenden,-0.009638959,-0.029223783,-0.006075901
GOLFER_BoVanPelt,-0.00943547,-0.015571026,-0.003507161
GOLFER_JeffSluman,-0.009412427,-0.016827674,-0.005039075
GOLFER_JoeDurant,-0.009252318,-0.028701313,-0.003836522
GOLFER_JerryKelly,-0.009209492,-0.007855986,-0.007855986
GOLFER_DanielChopra,-0.009026933,-0.012652775,-0.006851244
GOLFER_TomLehman,-0.00879883,-0.019357764,-0.001762587
GOLFER_FredFunk,-0.008739136,-0.019233215,-0.004575645
GOLFER_CarlPettersson,-0.008617836,-0.018161601,-0.00392996
GOLFER_StephenAmes,-0.008372553,-0.037216008,-0.006456408
GOLFER_DavidPeoples,-0.00825562,-0.02459194,0.000679528
GOLFER_CarlosFranco,-0.008143891,-0.012118927,-0.001852044
GOLFER_HarrisonFrazar,-0.008046852,-0.011978303,-0.005231749
GOLFER_JoeOgilvie,-0.008032453,-0.016293613,-0.001994414
GOLFER_LukeDonald,-0.007874032,-0.014720022,-0.004848865
GOLFER_KirkTriplett,-0.007847916,-0.02228329,-0.003384296
GOLFER_CameronBeckman,-0.00756568,-0.007398168,-0.003027729
GOLFER_RodPampling,-0.007347111,-0.011734631,-0.003206156
GOLFER_KennyPerry,-0.007309666,-0.028401289,-0.000999671
GOLFER_BenCrane,-0.007256984,-0.016211722,-0.002488242
GOLFER_WoodyAustin,-0.007237795,-0.018753442,-0.003994783
GOLFER_GeoffOgilvy,-0.007230027,-0.026619715,-0.002664029
GOLFER_JasonBohn,-0.007222472,-0.031563552,-0.005316274
GOLFER_BrianBateman,-0.007214211,-0.014583925,-0.005115801
GOLFER_RobertAllenby,-0.007213201,-0.01077187,-0.004397764
GOLFER_FrankLickliter,-0.007150942,-0.024404199,-0.003683273
GOLFER_ShigekiMaruyama,-0.00691673,-0.005509064,-0.005509064
GOLFER_JustinRose,-0.006900348,-0.006343855,-0.005690387
GOLFER_TomPerniceJr.,-0.00684153,-0.009040886,-0.003753371
GOLFER_RorySabbatini,-0.006612258,-0.021496998,-0.0041157
GOLFER_DuffyWaldorf,-0.006573644,-0.011408319,0.001003618
GOLFER_NealLancaster,-0.006565657,-0.009133471,-0.003644037
GOLFER_SergioGarcia,-0.00653452,-0.017206021,-0.001338383
GOLFER_ChrisRiley,-0.006377647,-0.010050865,-0.004723507
GOLFER_GlenDay,-0.006236131,-0.013483087,-0.003498704
GOLFER_RetiefGoosen,-0.006206347,-0.014813519,-0.004058391
GOLFER_BrianGay,-0.006111376,-0.008656886,-0.003159307
GOLFER_TomByrum,-0.006105258,-0.025006739,-0.003687587
GOLFER_BradFaxon,-0.006093944,-0.006093944,-0.006093944
GOLFER_DavisLoveIII,-0.006039325,-0.016644831,-0.004446626
