,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42
AaronBaddeley,67.75000,,72.00000,73.66667,71.75000,69.75000,66.75000,,70.75000,72.25000,77.50000,,,,73.50000,,75.00000,73.75000,71.00000,,74.50000,,75.50000,71.75000,72.25000,,,,72.00000,,,70.50000,70.75000,73.00000,70.50000,75.50000,,,,73.00000,72.00000
AaronBarber,,,,72.33333,,,,,,,,,,,78.50000,71.50000,,,,74.00000,,,,68.50000,76.50000,69.25000,73.50000,69.00000,71.50000,,,69.75000,71.50000,73.25000,,,68.75000,,,,
AdamMeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.50000,,,,,,
AdamScott,71.50000,,,,,,,,,69.25000,69.00000,73.50000,76.50000,,,,,,,,,70.50000,75.00000,65.75000,,,,,,70.75000,72.25000,,67.75000,,,,,,,,
AkioSadakata,,,,,,,,,,,,,,,,,,,,,,,,,,,72.50000,,,,,,,,,,,,,,
AlanMorin,,,,,,,,76.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlanSchulte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.50000,,,,,,,,,,,
AlexCejka,,,68.50000,,75.50000,72.50000,,69.25000,73.00000,72.00000,72.00000,,72.75000,70.50000,72.75000,,,,,,75.50000,72.00000,75.75000,68.25000,,,72.50000,,,73.00000,69.00000,,,,,,,68.25000,,,73.50000
AndreStolz,69.50000,,,72.33333,72.50000,,70.75000,,,,,73.50000,,,73.00000,69.50000,,,,75.00000,,,,73.50000,74.50000,71.50000,,,,,,75.00000,,74.00000,69.50000,74.00000,,66.50000,,,
AndrewMcLardy,,,,,,,,,,,,,,,,70.25000,,,,,,,,,,,,,,,73.75000,,,,,,,,,,
AndrewTschudin,,,,,,,,,,,,,,,,,,,,,,,74.50000,,,,,,,,,,,,,,,,,,
AndyBarrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.00000,,,,,,,,,,,,,
AndyCrain,,,,,,,,,,,,,,,,,77.50000,,,,,,,,,,,,,,,,,,,,,,,,
AndyMorse,,,,,,,,,74.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngelCabrera,,,,,,71.50000,68.25000,69.50000,,,,,75.50000,,,,,,,,,,72.25000,,,,,,,75.00000,68.50000,,,,,,,,,,
ArjunAtwal,70.00000,,,71.00000,71.25000,,70.50000,71.50000,73.50000,72.50000,,78.00000,,,73.50000,73.50000,75.50000,,,74.00000,76.50000,71.50000,,72.50000,74.50000,,,72.50000,70.50000,,,68.50000,71.50000,70.75000,68.75000,72.50000,,72.33333,68.75000,69.00000,
ArnoldPalmer,,,,,,,,,,83.50000,,,84.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArronOberholser,,,70.25000,69.75000,73.00000,71.50000,,,,72.00000,73.00000,71.50000,,75.00000,72.50000,,69.25000,,,,73.00000,71.50000,,68.00000,,,,,,71.00000,,,71.25000,,,,,69.33333,70.75000,70.50000,70.50000
BarryLane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.25000,,,,,,,,,,
BartBryant,68.75000,,,,,,73.00000,,,,,73.50000,,,75.50000,71.00000,,69.75000,,71.00000,,70.50000,,69.50000,71.00000,69.50000,,68.75000,71.50000,,,70.00000,73.50000,,65.25000,73.00000,71.50000,69.66667,,68.25000,70.75000
BenCrane,68.50000,66.80000,71.50000,,,71.00000,,75.00000,,72.50000,73.00000,70.25000,,71.25000,72.25000,,72.50000,71.50000,,70.50000,76.50000,,,69.50000,,69.25000,,,,70.75000,,,72.50000,,68.50000,72.50000,,67.75000,69.25000,70.25000,73.00000
BenCrenshaw,,,,,,,,,,,,,74.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenCurtis,70.00000,,,,,71.50000,,73.00000,,71.75000,74.00000,,75.00000,70.50000,,,71.50000,,,,70.50000,,73.50000,,72.50000,,,,,73.50000,,,73.50000,,,70.75000,,,72.50000,68.25000,
BenoitBeisser,,,,,,,73.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BernhardLanger,,67.00000,69.25000,,72.25000,70.50000,,68.50000,73.25000,71.75000,73.75000,,71.25000,71.00000,,,,,,,,,,,,,,,,73.50000,73.00000,,,,,,,,,75.00000,70.00000
BillBritton,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00000,,,73.50000,,,,,,,,,,,
BillGlasson,,,73.50000,70.25000,73.00000,,67.75000,71.75000,,,,,,,,,,,77.00000,73.50000,,,,70.00000,,71.50000,71.50000,,70.25000,,,,,71.25000,69.50000,,68.50000,69.33333,,,74.00000
BillHaas,,,,,,,,,,,,,,,,,,,,,,,74.25000,70.00000,,70.50000,68.50000,,71.50000,,,70.25000,69.25000,70.75000,,,,,,,
BillyAndrade,,68.40000,75.00000,72.33333,73.00000,70.50000,,73.50000,77.00000,73.00000,78.00000,75.50000,,71.50000,73.00000,,73.00000,70.75000,,70.25000,73.75000,72.25000,,69.50000,,,70.50000,67.50000,69.00000,76.50000,,69.50000,71.50000,70.25000,,72.00000,69.25000,68.50000,70.75000,68.25000,72.50000
BillyMayfair,,70.25000,73.00000,,70.00000,72.00000,69.25000,70.75000,72.00000,,72.75000,73.25000,,72.75000,72.00000,,72.50000,71.50000,73.00000,72.50000,,72.50000,77.50000,71.00000,70.75000,,,73.00000,70.50000,,,69.50000,72.00000,72.75000,,70.00000,,68.25000,73.75000,72.50000,71.25000
BlaineMcCallister,72.00000,,,74.00000,73.50000,,69.00000,74.50000,75.50000,,,71.50000,,72.50000,72.25000,71.00000,73.75000,73.50000,,73.00000,,74.00000,,71.00000,72.50000,71.00000,71.50000,72.50000,,,,73.00000,72.50000,73.50000,72.50000,,71.00000,69.33333,70.25000,,
BoVanPelt,67.75000,70.25000,68.50000,71.25000,69.75000,70.25000,,70.25000,75.50000,70.75000,,73.75000,,,71.50000,72.00000,,68.75000,68.50000,,75.50000,69.25000,73.75000,68.00000,,,,67.75000,,71.75000,,68.75000,72.00000,,68.00000,73.00000,,68.50000,69.50000,71.00000,71.75000
BobAckerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00000,,,,,,,,,,,,
